id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel,buurt
920064,4.90224,52.34067,Tilia europaea 'Pallida',Linde (Tilia),1980,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Midden
920065,4.90204,52.34068,Tilia europaea 'Zwarte Linde',Linde (Tilia),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Midden
920066,4.91277,52.34057,Salix sepulcralis 'Chrysocoma',Wilg (Salix),1974,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Rijnbuurt-Oost
920067,4.91293,52.34071,Acer pseudoplatanus,Esdoorn (Acer),1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920068,4.91223,52.34182,Tilia europaea 'Zwarte Linde',Linde (Tilia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920069,4.88591,52.32226,Salix alba,Wilg (Salix),1948,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920070,4.88331,52.32437,Acer campestre 'Elsrijk',Esdoorn (Acer),2007,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidoost
920071,4.89989,52.341,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Rijnbuurt-West
920072,4.89894,52.34696,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,IJselbuurt-West
920073,4.89836,52.34699,Ulmus hollandica 'Pioneer',Iep (Ulmus),2002,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,IJselbuurt-West
920074,4.85703,52.33254,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920075,4.85435,52.33189,Alnus glutinosa,Els (Alnus),1993,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Amsterdamse Bos
920076,4.85701,52.33324,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920077,4.85702,52.33316,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920078,4.85702,52.33304,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
920079,4.85702,52.33292,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-West-Midden
